is_info_useful,missing_info,improvements,date,institution_cat,missing_info_en,improvements_en
1,,los documentos se puedan entregar de forma electronica,0,639,,documents can be delivered electronically
0,las citas via internet antes las podia hacer ahora me resulta imposible o no me da la opcion,seria mejor el sistema anterior donde se podia hacer la cita por internet,0,736,I could make appointments via the internet before now it is impossible or it does not give me the option,The previous system where the appointment could be made online would be better
1,"la informacion de las citas no esta al alcance, es muy dificil localizarla",presenten la informacion para hacer citas de forma clara,0,729,"Appointment information is not available, it is very difficult to locate it",present the information to make appointments clearly
1,,"poder agendar cita por internet , eso seria de mucha utilidad",0,722,,"being able to schedule an appointment online, that would be very useful"
0,no se puede agendar la cita para la renovacion del pasaporte...en ninguna parte de su pagina esta.....ofrecen ese servicio pero no esta en ninguna parte,la pagina esta saturada de informacion que no es util.... y lo q necesitamos no esta o no es facil de buscar.....ejemplo....no encuentro la liga para agendar  una cita para la renovacion  del pasaporte,2,723,you can not schedule the appointment for the renewal of the passport ... nowhere on your page is ..... they offer that service but it is nowhere,The page is saturated with information that is not useful .... and what we need is not or is not easy to search ..... example .... I cannot find the league to schedule an appointment for the renewal of the passport
1,,incluir telefono de contacto,3,151,,include contact phone
0,"hace falta un enlace con el sistema de citas, porque en mi caso tuve que llamar a dos numeros distintos. 
tambien seria util que dieran un estimado en las fechas de espera por vacacioones o otras condiciones.","poderian poner informacion mas actualizada, por ejemplo:
la direccion de las sre en zacatecas es incorrecta.
cuando llamas para solicitar una cita, la pagina de internet que te sugieren no existe.
no hay forma de saber como sacar tu cita hasta que llamas al telefono de tu sre que ademas no es el numero para las citas.
en general tener la informacion mas exacta ayudaria mucho.",4,723,"A link to the dating system is required, because in my case I had to call two different numbers. It would also be helpful if they gave an estimate on waiting dates for vacations or other conditions.","They could put more updated information, for example: the address of the sre in zacatecas is incorrect. When you call to request an appointment, the website they suggest does not exist. There is no way to know how to get your appointment until you call the phone of your sre, which is also not the number for appointments. in general having the most accurate information would help a lot."
1,donde y como puedo hacer una cita asi como tiempos estimados que toma el tramite,hacer citas por internet y telefonos de informacion,6,723,where and how can I make an appointment as well as estimated times that the procedure takes,make appointments online and information phones
1,,la seguridad en tlanepantla en tenayo chalma manden al ejercito hay muchos robos,7,659,,security in tlanepantla in tenayo chalma send the army there are many robberies
1,agreguen la cuenta bancaria a esta iformacion,el numero de cuenta banacaia anexo,8,722,add the bank account to this information,the attached bank account number
1,como realizo una cita para la recepcion de mis documentos para una renovacion,poner un apartado para las citas,10,723,How do I make an appointment to receive my documents for a renewal?,put a section for appointments
1,no esta la liga para realizar las citas por internet,"todo, el citio es redundantey no sirve. para encontrar la liga de citas es todo un misterio y cuando la encontre no se pudo abrir por problemas de verificacion en los permisos de proteccion de informacion.",10,723,There is no league to make appointments online,"Everything, citio is redundant and does not work. To find the dating league is a mystery and when I found it it could not be opened due to verification problems in the information protection permissions."
